Running in CPU mode	
Epoch 1.00 / 50, i = 1 / 17800, loss = 4.196550	
Epoch 1.01 / 50, i = 2 / 17800, loss = 4.110992	
Epoch 1.01 / 50, i = 3 / 17800, loss = 4.019068	
Epoch 1.01 / 50, i = 4 / 17800, loss = 3.908881	
Epoch 1.01 / 50, i = 5 / 17800, loss = 3.772610	
Epoch 1.02 / 50, i = 6 / 17800, loss = 3.622753	
Epoch 1.02 / 50, i = 7 / 17800, loss = 3.505280	
Epoch 1.02 / 50, i = 8 / 17800, loss = 3.420977	
Epoch 1.03 / 50, i = 9 / 17800, loss = 3.351380	
Epoch 1.03 / 50, i = 10 / 17800, loss = 3.364152	
Epoch 1.03 / 50, i = 11 / 17800, loss = 3.332194	
Epoch 1.03 / 50, i = 12 / 17800, loss = 3.268199	
Epoch 1.04 / 50, i = 13 / 17800, loss = 3.317489	
Epoch 1.04 / 50, i = 14 / 17800, loss = 3.268547	
Epoch 1.04 / 50, i = 15 / 17800, loss = 3.224888	
Epoch 1.04 / 50, i = 16 / 17800, loss = 3.220561	
Epoch 1.05 / 50, i = 17 / 17800, loss = 3.180135	
Epoch 1.05 / 50, i = 18 / 17800, loss = 3.173659	
Epoch 1.05 / 50, i = 19 / 17800, loss = 3.121713	
Epoch 1.06 / 50, i = 20 / 17800, loss = 3.138184	
Epoch 1.06 / 50, i = 21 / 17800, loss = 3.117341	
Epoch 1.06 / 50, i = 22 / 17800, loss = 3.174452	
Epoch 1.06 / 50, i = 23 / 17800, loss = 3.093561	
Epoch 1.07 / 50, i = 24 / 17800, loss = 3.085519	
Epoch 1.07 / 50, i = 25 / 17800, loss = 3.090509	
Epoch 1.07 / 50, i = 26 / 17800, loss = 3.012178	
Epoch 1.08 / 50, i = 27 / 17800, loss = 3.030349	
Epoch 1.08 / 50, i = 28 / 17800, loss = 3.022661	
Epoch 1.08 / 50, i = 29 / 17800, loss = 2.953798	
Epoch 1.08 / 50, i = 30 / 17800, loss = 3.014421	
Epoch 1.09 / 50, i = 31 / 17800, loss = 2.924845	
Epoch 1.09 / 50, i = 32 / 17800, loss = 2.946174	
Epoch 1.09 / 50, i = 33 / 17800, loss = 2.845280	
Epoch 1.10 / 50, i = 34 / 17800, loss = 2.904541	
Epoch 1.10 / 50, i = 35 / 17800, loss = 2.853489	
Epoch 1.10 / 50, i = 36 / 17800, loss = 2.921554	
Epoch 1.10 / 50, i = 37 / 17800, loss = 2.877211	
Epoch 1.11 / 50, i = 38 / 17800, loss = 2.871919	
Epoch 1.11 / 50, i = 39 / 17800, loss = 2.800690	
Epoch 1.11 / 50, i = 40 / 17800, loss = 2.753556	
Epoch 1.12 / 50, i = 41 / 17800, loss = 2.747025	
Epoch 1.12 / 50, i = 42 / 17800, loss = 2.732948	
Epoch 1.12 / 50, i = 43 / 17800, loss = 2.767451	
Epoch 1.12 / 50, i = 44 / 17800, loss = 2.758536	
Epoch 1.13 / 50, i = 45 / 17800, loss = 2.771170	
Epoch 1.13 / 50, i = 46 / 17800, loss = 2.735593	
Epoch 1.13 / 50, i = 47 / 17800, loss = 2.748200	
Epoch 1.13 / 50, i = 48 / 17800, loss = 2.705442	
Epoch 1.14 / 50, i = 49 / 17800, loss = 2.722912	
Epoch 1.14 / 50, i = 50 / 17800, loss = 2.671867	
Epoch 1.14 / 50, i = 51 / 17800, loss = 2.627584	
Epoch 1.15 / 50, i = 52 / 17800, loss = 2.631245	
Epoch 1.15 / 50, i = 53 / 17800, loss = 2.661232	
Epoch 1.15 / 50, i = 54 / 17800, loss = 2.614681	
Epoch 1.15 / 50, i = 55 / 17800, loss = 2.564558	
Epoch 1.16 / 50, i = 56 / 17800, loss = 2.574694	
Epoch 1.16 / 50, i = 57 / 17800, loss = 2.554001	
Epoch 1.16 / 50, i = 58 / 17800, loss = 2.610774	
Epoch 1.17 / 50, i = 59 / 17800, loss = 2.593008	
Epoch 1.17 / 50, i = 60 / 17800, loss = 2.587526	
Epoch 1.17 / 50, i = 61 / 17800, loss = 2.564748	
Epoch 1.17 / 50, i = 62 / 17800, loss = 2.540392	
Epoch 1.18 / 50, i = 63 / 17800, loss = 2.522070	
Epoch 1.18 / 50, i = 64 / 17800, loss = 2.546236	
Epoch 1.18 / 50, i = 65 / 17800, loss = 2.502575	
Epoch 1.19 / 50, i = 66 / 17800, loss = 2.530280	
