Running in CPU mode	
Epoch 1.00 / 50, i = 1 / 17800, loss = 4.164945	
Epoch 1.01 / 50, i = 2 / 17800, loss = 4.028187	
Epoch 1.01 / 50, i = 3 / 17800, loss = 3.815589	
Epoch 1.01 / 50, i = 4 / 17800, loss = 3.616213	
Epoch 1.01 / 50, i = 5 / 17800, loss = 3.483038	
Epoch 1.02 / 50, i = 6 / 17800, loss = 3.409972	
Epoch 1.02 / 50, i = 7 / 17800, loss = 3.392143	
Epoch 1.02 / 50, i = 8 / 17800, loss = 3.387964	
Epoch 1.03 / 50, i = 9 / 17800, loss = 3.358171	
Epoch 1.03 / 50, i = 10 / 17800, loss = 3.399203	
Epoch 1.03 / 50, i = 11 / 17800, loss = 3.366161	
Epoch 1.03 / 50, i = 12 / 17800, loss = 3.306472	
Epoch 1.04 / 50, i = 13 / 17800, loss = 3.353669	
Epoch 1.04 / 50, i = 14 / 17800, loss = 3.316302	
Epoch 1.04 / 50, i = 15 / 17800, loss = 3.293522	
Epoch 1.04 / 50, i = 16 / 17800, loss = 3.302251	
Epoch 1.05 / 50, i = 17 / 17800, loss = 3.286560	
Epoch 1.05 / 50, i = 18 / 17800, loss = 3.277212	
Epoch 1.05 / 50, i = 19 / 17800, loss = 3.245945	
Epoch 1.06 / 50, i = 20 / 17800, loss = 3.275085	
Epoch 1.06 / 50, i = 21 / 17800, loss = 3.247597	
Epoch 1.06 / 50, i = 22 / 17800, loss = 3.332930	
Epoch 1.06 / 50, i = 23 / 17800, loss = 3.254029	
Epoch 1.07 / 50, i = 24 / 17800, loss = 3.259985	
Epoch 1.07 / 50, i = 25 / 17800, loss = 3.270402	
Epoch 1.07 / 50, i = 26 / 17800, loss = 3.200061	
Epoch 1.08 / 50, i = 27 / 17800, loss = 3.241753	
Epoch 1.08 / 50, i = 28 / 17800, loss = 3.223313	
Epoch 1.08 / 50, i = 29 / 17800, loss = 3.151280	
Epoch 1.08 / 50, i = 30 / 17800, loss = 3.200174	
Epoch 1.09 / 50, i = 31 / 17800, loss = 3.113784	
Epoch 1.09 / 50, i = 32 / 17800, loss = 3.146228	
Epoch 1.09 / 50, i = 33 / 17800, loss = 3.042577	
Epoch 1.10 / 50, i = 34 / 17800, loss = 3.092269	
Epoch 1.10 / 50, i = 35 / 17800, loss = 3.047211	
Epoch 1.10 / 50, i = 36 / 17800, loss = 3.111947	
Epoch 1.10 / 50, i = 37 / 17800, loss = 3.063070	
Epoch 1.11 / 50, i = 38 / 17800, loss = 3.053337	
Epoch 1.11 / 50, i = 39 / 17800, loss = 3.000604	
Epoch 1.11 / 50, i = 40 / 17800, loss = 2.935251	
Epoch 1.12 / 50, i = 41 / 17800, loss = 2.929236	
Epoch 1.12 / 50, i = 42 / 17800, loss = 2.920920	
