Running in CPU mode	
Epoch 1.00 / 35, i = 1 / 12460, loss = 4.193490	
Epoch 1.01 / 35, i = 2 / 12460, loss = 4.103402	
Epoch 1.01 / 35, i = 3 / 12460, loss = 3.977934	
Epoch 1.01 / 35, i = 4 / 12460, loss = 3.825242	
Epoch 1.01 / 35, i = 5 / 12460, loss = 3.686451	
Epoch 1.02 / 35, i = 6 / 12460, loss = 3.559489	
Epoch 1.02 / 35, i = 7 / 12460, loss = 3.498351	
Epoch 1.02 / 35, i = 8 / 12460, loss = 3.435910	
Epoch 1.03 / 35, i = 9 / 12460, loss = 3.393821	
Epoch 1.03 / 35, i = 10 / 12460, loss = 3.414775	
Epoch 1.03 / 35, i = 11 / 12460, loss = 3.388149	
Epoch 1.03 / 35, i = 12 / 12460, loss = 3.320124	
Epoch 1.04 / 35, i = 13 / 12460, loss = 3.373491	
Epoch 1.04 / 35, i = 14 / 12460, loss = 3.340287	
Epoch 1.04 / 35, i = 15 / 12460, loss = 3.311101	
Epoch 1.04 / 35, i = 16 / 12460, loss = 3.321378	
Epoch 1.05 / 35, i = 17 / 12460, loss = 3.298367	
Epoch 1.05 / 35, i = 18 / 12460, loss = 3.303683	
Epoch 1.05 / 35, i = 19 / 12460, loss = 3.261799	
Epoch 1.06 / 35, i = 20 / 12460, loss = 3.299626	
Epoch 1.06 / 35, i = 21 / 12460, loss = 3.280360	
Epoch 1.06 / 35, i = 22 / 12460, loss = 3.367391	
Epoch 1.06 / 35, i = 23 / 12460, loss = 3.292485	
Epoch 1.07 / 35, i = 24 / 12460, loss = 3.302370	
Epoch 1.07 / 35, i = 25 / 12460, loss = 3.320733	
Epoch 1.07 / 35, i = 26 / 12460, loss = 3.242246	
Epoch 1.08 / 35, i = 27 / 12460, loss = 3.302158	
Epoch 1.08 / 35, i = 28 / 12460, loss = 3.288188	
Epoch 1.08 / 35, i = 29 / 12460, loss = 3.224124	
Epoch 1.08 / 35, i = 30 / 12460, loss = 3.287030	
Epoch 1.09 / 35, i = 31 / 12460, loss = 3.200140	
Epoch 1.09 / 35, i = 32 / 12460, loss = 3.240543	
Epoch 1.09 / 35, i = 33 / 12460, loss = 3.138112	
Epoch 1.10 / 35, i = 34 / 12460, loss = 3.203825	
Epoch 1.10 / 35, i = 35 / 12460, loss = 3.161115	
Epoch 1.10 / 35, i = 36 / 12460, loss = 3.229271	
Epoch 1.10 / 35, i = 37 / 12460, loss = 3.189316	
Epoch 1.11 / 35, i = 38 / 12460, loss = 3.190124	
Epoch 1.11 / 35, i = 39 / 12460, loss = 3.139570	
Epoch 1.11 / 35, i = 40 / 12460, loss = 3.070568	
Epoch 1.12 / 35, i = 41 / 12460, loss = 3.077833	
Epoch 1.12 / 35, i = 42 / 12460, loss = 3.080680	
Epoch 1.12 / 35, i = 43 / 12460, loss = 3.095634	
Epoch 1.12 / 35, i = 44 / 12460, loss = 3.078802	
Epoch 1.13 / 35, i = 45 / 12460, loss = 3.095243	
Epoch 1.13 / 35, i = 46 / 12460, loss = 3.038081	
Epoch 1.13 / 35, i = 47 / 12460, loss = 3.033671	
Epoch 1.13 / 35, i = 48 / 12460, loss = 3.011384	
Epoch 1.14 / 35, i = 49 / 12460, loss = 3.039868	
Epoch 1.14 / 35, i = 50 / 12460, loss = 2.968030	
Epoch 1.14 / 35, i = 51 / 12460, loss = 2.920047	
Epoch 1.15 / 35, i = 52 / 12460, loss = 2.916702	
Epoch 1.15 / 35, i = 53 / 12460, loss = 2.961919	
Epoch 1.15 / 35, i = 54 / 12460, loss = 2.900960	
Epoch 1.15 / 35, i = 55 / 12460, loss = 2.831808	
Epoch 1.16 / 35, i = 56 / 12460, loss = 2.855721	
Epoch 1.16 / 35, i = 57 / 12460, loss = 2.823874	
Epoch 1.16 / 35, i = 58 / 12460, loss = 2.853166	
Epoch 1.17 / 35, i = 59 / 12460, loss = 2.837097	
Epoch 1.17 / 35, i = 60 / 12460, loss = 2.803565	
Epoch 1.17 / 35, i = 61 / 12460, loss = 2.800200	
Epoch 1.17 / 35, i = 62 / 12460, loss = 2.773980	
Epoch 1.18 / 35, i = 63 / 12460, loss = 2.744748	
Epoch 1.18 / 35, i = 64 / 12460, loss = 2.749532	
Epoch 1.18 / 35, i = 65 / 12460, loss = 2.714604	
Epoch 1.19 / 35, i = 66 / 12460, loss = 2.725020	
Epoch 1.19 / 35, i = 67 / 12460, loss = 2.706556	
Epoch 1.19 / 35, i = 68 / 12460, loss = 2.707559	
Epoch 1.19 / 35, i = 69 / 12460, loss = 2.685141	
Epoch 1.20 / 35, i = 70 / 12460, loss = 2.716241	
Epoch 1.20 / 35, i = 71 / 12460, loss = 2.694234	
Epoch 1.20 / 35, i = 72 / 12460, loss = 2.610658	
Epoch 1.21 / 35, i = 73 / 12460, loss = 2.621613	
Epoch 1.21 / 35, i = 74 / 12460, loss = 2.606996	
Epoch 1.21 / 35, i = 75 / 12460, loss = 2.616104	
Epoch 1.21 / 35, i = 76 / 12460, loss = 2.550292	
Epoch 1.22 / 35, i = 77 / 12460, loss = 2.605539	
Epoch 1.22 / 35, i = 78 / 12460, loss = 2.538714	
Epoch 1.22 / 35, i = 79 / 12460, loss = 2.636831	
Epoch 1.22 / 35, i = 80 / 12460, loss = 2.573114	
Epoch 1.23 / 35, i = 81 / 12460, loss = 2.558506	
Epoch 1.23 / 35, i = 82 / 12460, loss = 2.554540	
Epoch 1.23 / 35, i = 83 / 12460, loss = 2.542124	
Epoch 1.24 / 35, i = 84 / 12460, loss = 2.533067	
Epoch 1.24 / 35, i = 85 / 12460, loss = 2.584317	
Epoch 1.24 / 35, i = 86 / 12460, loss = 2.547493	
Epoch 1.24 / 35, i = 87 / 12460, loss = 2.499687	
Epoch 1.25 / 35, i = 88 / 12460, loss = 2.533437	
Epoch 1.25 / 35, i = 89 / 12460, loss = 2.496437	
Epoch 1.25 / 35, i = 90 / 12460, loss = 2.505072	
Epoch 1.26 / 35, i = 91 / 12460, loss = 2.461257	
Epoch 1.26 / 35, i = 92 / 12460, loss = 2.507789	
Epoch 1.26 / 35, i = 93 / 12460, loss = 2.441738	
Epoch 1.26 / 35, i = 94 / 12460, loss = 2.462907	
Epoch 1.27 / 35, i = 95 / 12460, loss = 2.484150	
Epoch 1.27 / 35, i = 96 / 12460, loss = 2.495395	
Epoch 1.27 / 35, i = 97 / 12460, loss = 2.499059	
Epoch 1.28 / 35, i = 98 / 12460, loss = 2.385995	
Epoch 1.28 / 35, i = 99 / 12460, loss = 2.429104	
Epoch 1.28 / 35, i = 100 / 12460, loss = 2.432831	
val_loss = 	2.445031339472	
Epoch 1.28 / 35, i = 101 / 12460, loss = 2.484761	
Epoch 1.29 / 35, i = 102 / 12460, loss = 2.405288	
Epoch 1.29 / 35, i = 103 / 12460, loss = 2.383220	
Epoch 1.29 / 35, i = 104 / 12460, loss = 2.416123	
Epoch 1.29 / 35, i = 105 / 12460, loss = 2.370379	
Epoch 1.30 / 35, i = 106 / 12460, loss = 2.422087	
Epoch 1.30 / 35, i = 107 / 12460, loss = 2.419597	
Epoch 1.30 / 35, i = 108 / 12460, loss = 2.344651	
Epoch 1.31 / 35, i = 109 / 12460, loss = 2.327194	
Epoch 1.31 / 35, i = 110 / 12460, loss = 2.375520	
Epoch 1.31 / 35, i = 111 / 12460, loss = 2.368179	
Epoch 1.31 / 35, i = 112 / 12460, loss = 2.431320	
Epoch 1.32 / 35, i = 113 / 12460, loss = 2.398793	
Epoch 1.32 / 35, i = 114 / 12460, loss = 2.346132	
Epoch 1.32 / 35, i = 115 / 12460, loss = 2.371475	
Epoch 1.33 / 35, i = 116 / 12460, loss = 2.351377	
Epoch 1.33 / 35, i = 117 / 12460, loss = 2.411426	
Epoch 1.33 / 35, i = 118 / 12460, loss = 2.329165	
Epoch 1.33 / 35, i = 119 / 12460, loss = 2.332139	
Epoch 1.34 / 35, i = 120 / 12460, loss = 2.326680	
Epoch 1.34 / 35, i = 121 / 12460, loss = 2.314306	
Epoch 1.34 / 35, i = 122 / 12460, loss = 2.336366	
Epoch 1.35 / 35, i = 123 / 12460, loss = 2.325684	
Epoch 1.35 / 35, i = 124 / 12460, loss = 2.340360	
Epoch 1.35 / 35, i = 125 / 12460, loss = 2.350202	
Epoch 1.35 / 35, i = 126 / 12460, loss = 2.302903	
Epoch 1.36 / 35, i = 127 / 12460, loss = 2.342626	
Epoch 1.36 / 35, i = 128 / 12460, loss = 2.301190	
Epoch 1.36 / 35, i = 129 / 12460, loss = 2.302689	
Epoch 1.37 / 35, i = 130 / 12460, loss = 2.280271	
Epoch 1.37 / 35, i = 131 / 12460, loss = 2.291870	
Epoch 1.37 / 35, i = 132 / 12460, loss = 2.304671	
Epoch 1.37 / 35, i = 133 / 12460, loss = 2.320811	
Epoch 1.38 / 35, i = 134 / 12460, loss = 2.288550	
Epoch 1.38 / 35, i = 135 / 12460, loss = 2.277084	
Epoch 1.38 / 35, i = 136 / 12460, loss = 2.302589	
Epoch 1.38 / 35, i = 137 / 12460, loss = 2.284666	
Epoch 1.39 / 35, i = 138 / 12460, loss = 2.270009	
Epoch 1.39 / 35, i = 139 / 12460, loss = 2.286084	
Epoch 1.39 / 35, i = 140 / 12460, loss = 2.244619	
Epoch 1.40 / 35, i = 141 / 12460, loss = 2.296024	
Epoch 1.40 / 35, i = 142 / 12460, loss = 2.283080	
Epoch 1.40 / 35, i = 143 / 12460, loss = 2.336483	
Epoch 1.40 / 35, i = 144 / 12460, loss = 2.292307	
Epoch 1.41 / 35, i = 145 / 12460, loss = 2.232008	
Epoch 1.41 / 35, i = 146 / 12460, loss = 2.292390	
Epoch 1.41 / 35, i = 147 / 12460, loss = 2.219448	
Epoch 1.42 / 35, i = 148 / 12460, loss = 2.263409	
Epoch 1.42 / 35, i = 149 / 12460, loss = 2.287308	
Epoch 1.42 / 35, i = 150 / 12460, loss = 2.259376	
Epoch 1.42 / 35, i = 151 / 12460, loss = 2.238318	
Epoch 1.43 / 35, i = 152 / 12460, loss = 2.241334	
Epoch 1.43 / 35, i = 153 / 12460, loss = 2.243421	
Epoch 1.43 / 35, i = 154 / 12460, loss = 2.262031	
Epoch 1.44 / 35, i = 155 / 12460, loss = 2.222829	
Epoch 1.44 / 35, i = 156 / 12460, loss = 2.250707	
Epoch 1.44 / 35, i = 157 / 12460, loss = 2.214192	
Epoch 1.44 / 35, i = 158 / 12460, loss = 2.238494	
Epoch 1.45 / 35, i = 159 / 12460, loss = 2.246725	
Epoch 1.45 / 35, i = 160 / 12460, loss = 2.247942	
Epoch 1.45 / 35, i = 161 / 12460, loss = 2.238904	
Epoch 1.46 / 35, i = 162 / 12460, loss = 2.253666	
Epoch 1.46 / 35, i = 163 / 12460, loss = 2.222268	
Epoch 1.46 / 35, i = 164 / 12460, loss = 2.225142	
Epoch 1.46 / 35, i = 165 / 12460, loss = 2.169045	
Epoch 1.47 / 35, i = 166 / 12460, loss = 2.181873	
Epoch 1.47 / 35, i = 167 / 12460, loss = 2.193574	
Epoch 1.47 / 35, i = 168 / 12460, loss = 2.221367	
Epoch 1.47 / 35, i = 169 / 12460, loss = 2.191444	
Epoch 1.48 / 35, i = 170 / 12460, loss = 2.173976	
Epoch 1.48 / 35, i = 171 / 12460, loss = 2.195625	
Epoch 1.48 / 35, i = 172 / 12460, loss = 2.180706	
Epoch 1.49 / 35, i = 173 / 12460, loss = 2.221362	
Epoch 1.49 / 35, i = 174 / 12460, loss = 2.222091	
Epoch 1.49 / 35, i = 175 / 12460, loss = 2.219458	
Epoch 1.49 / 35, i = 176 / 12460, loss = 2.228049	
Epoch 1.50 / 35, i = 177 / 12460, loss = 2.172823	
Epoch 1.50 / 35, i = 178 / 12460, loss = 2.170186	
Epoch 1.50 / 35, i = 179 / 12460, loss = 2.195381	
Epoch 1.51 / 35, i = 180 / 12460, loss = 2.164327	
Epoch 1.51 / 35, i = 181 / 12460, loss = 2.163803	
Epoch 1.51 / 35, i = 182 / 12460, loss = 2.174886	
Epoch 1.51 / 35, i = 183 / 12460, loss = 2.160104	
Epoch 1.52 / 35, i = 184 / 12460, loss = 2.168823	
Epoch 1.52 / 35, i = 185 / 12460, loss = 2.122149	
Epoch 1.52 / 35, i = 186 / 12460, loss = 2.154948	
Epoch 1.53 / 35, i = 187 / 12460, loss = 2.147730	
Epoch 1.53 / 35, i = 188 / 12460, loss = 2.172497	
Epoch 1.53 / 35, i = 189 / 12460, loss = 2.132133	
Epoch 1.53 / 35, i = 190 / 12460, loss = 2.167506	
Epoch 1.54 / 35, i = 191 / 12460, loss = 2.195289	
Epoch 1.54 / 35, i = 192 / 12460, loss = 2.156873	
Epoch 1.54 / 35, i = 193 / 12460, loss = 2.170567	
Epoch 1.54 / 35, i = 194 / 12460, loss = 2.102187	
