Running in CPU mode	
Epoch 1.00 / 40, i = 1 / 14240, loss = 4.216308	
Epoch 1.01 / 40, i = 2 / 14240, loss = 4.064507	
Epoch 1.01 / 40, i = 3 / 14240, loss = 3.888452	
Epoch 1.01 / 40, i = 4 / 14240, loss = 3.684775	
Epoch 1.01 / 40, i = 5 / 14240, loss = 3.504680	
Epoch 1.02 / 40, i = 6 / 14240, loss = 3.375910	
Epoch 1.02 / 40, i = 7 / 14240, loss = 3.316311	
Epoch 1.02 / 40, i = 8 / 14240, loss = 3.259840	
Epoch 1.03 / 40, i = 9 / 14240, loss = 3.204641	
Epoch 1.03 / 40, i = 10 / 14240, loss = 3.204170	
Epoch 1.03 / 40, i = 11 / 14240, loss = 3.124108	
Epoch 1.03 / 40, i = 12 / 14240, loss = 3.042780	
Epoch 1.04 / 40, i = 13 / 14240, loss = 3.045274	
Epoch 1.04 / 40, i = 14 / 14240, loss = 3.001056	
Epoch 1.04 / 40, i = 15 / 14240, loss = 2.950899	
Epoch 1.04 / 40, i = 16 / 14240, loss = 2.934711	
Epoch 1.05 / 40, i = 17 / 14240, loss = 2.889457	
Epoch 1.05 / 40, i = 18 / 14240, loss = 2.856434	
Epoch 1.05 / 40, i = 19 / 14240, loss = 2.799741	
Epoch 1.06 / 40, i = 20 / 14240, loss = 2.799145	
Epoch 1.06 / 40, i = 21 / 14240, loss = 2.767056	
Epoch 1.06 / 40, i = 22 / 14240, loss = 2.817097	
Epoch 1.06 / 40, i = 23 / 14240, loss = 2.698833	
Epoch 1.07 / 40, i = 24 / 14240, loss = 2.700341	
Epoch 1.07 / 40, i = 25 / 14240, loss = 2.754855	
Epoch 1.07 / 40, i = 26 / 14240, loss = 2.625821	
Epoch 1.08 / 40, i = 27 / 14240, loss = 2.654681	
Epoch 1.08 / 40, i = 28 / 14240, loss = 2.619639	
Epoch 1.08 / 40, i = 29 / 14240, loss = 2.562511	
Epoch 1.08 / 40, i = 30 / 14240, loss = 2.639752	
Epoch 1.09 / 40, i = 31 / 14240, loss = 2.543144	
Epoch 1.09 / 40, i = 32 / 14240, loss = 2.562794	
Epoch 1.09 / 40, i = 33 / 14240, loss = 2.486135	
Epoch 1.10 / 40, i = 34 / 14240, loss = 2.544969	
Epoch 1.10 / 40, i = 35 / 14240, loss = 2.478642	
Epoch 1.10 / 40, i = 36 / 14240, loss = 2.568878	
Epoch 1.10 / 40, i = 37 / 14240, loss = 2.540843	
Epoch 1.11 / 40, i = 38 / 14240, loss = 2.516155	
Epoch 1.11 / 40, i = 39 / 14240, loss = 2.471289	
Epoch 1.11 / 40, i = 40 / 14240, loss = 2.406205	
Epoch 1.12 / 40, i = 41 / 14240, loss = 2.398558	
Epoch 1.12 / 40, i = 42 / 14240, loss = 2.375489	
Epoch 1.12 / 40, i = 43 / 14240, loss = 2.422631	
Epoch 1.12 / 40, i = 44 / 14240, loss = 2.409522	
